States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,2743.0,2744.0,2550.0,12580.0,10340.0,10680.0,6580.0,6600.0,3890.0,,15039.4,,8445.6,,9098.0,6799.8,4550.0,,1540.0,1840.0,1100.0,820.0,2016-11-02,2
Tamil Nadu,3330.0,2692.0,2670.0,7200.0,6180.0,7260.0,6450.0,5150.0,4040.0,,13852.6,,8534.8,,8674.8,6765.2,5400.0,,1510.0,1480.0,3120.0,3620.0,2017-11-02,2
Tamil Nadu,3075.0,2900.0,2860.0,5775.0,6400.0,7375.0,7125.0,5222.5,3555.0,,13128.75,,8978.0,,9689.0,7594.25,4525.0,,1537.5,2525.0,1750.0,1100.0,2018-11-02,2
Tamil Nadu,4150.0,3032.0,3410.0,6620.0,8780.0,10020.0,8560.0,5880.0,3584.0,,15607.2,,7657.6,,9919.2,7233.0,4560.0,,1440.0,2400.0,4260.0,2500.0,2019-11-02,2
Tamil Nadu,2902.0,2764.0,2562.5,12160.0,9860.0,10130.0,6430.0,6500.0,3926.0,,14698.0,,8489.6,,9120.0,6943.6,4542.0,,1540.0,1740.0,1240.0,760.0,2016-12-02,2
Tamil Nadu,3278.0,2712.0,2605.0,6620.0,6100.0,6620.0,6410.0,4950.0,4018.0,,13522.8,,8644.6,,9004.0,7147.8,4880.0,,1510.0,1540.0,4380.0,2180.0,2017-12-02,2
Tamil Nadu,2962.5,2962.5,3017.5,6600.0,6725.0,7700.0,7450.0,5500.0,3382.5,,13323.5,,8714.0,,9737.0,6975.0,4466.75,,1442.5,1925.0,1350.0,1125.0,2018-12-02,2
Tamil Nadu,3927.78,3093.33,3032.22,6544.44,8955.56,11700.0,9055.56,5925.0,3593.33,2800.0,14713.67,12483.5,8217.78,,10068.56,7906.11,4688.89,36000.0,1522.22,2266.67,8277.78,1788.89,2019-12-02,2
Tamil Nadu,2723.0,2740.0,2329.25,6460.0,13940.0,14900.0,9660.0,7700.0,3172.0,,12255.2,,7973.2,,8967.4,5651.8,4015.0,,1492.0,1620.0,1880.0,3000.0,2016-01-03,2
Tamil Nadu,3185.0,2804.0,2582.5,12060.0,8140.0,9337.5,6400.0,6200.0,3928.0,,14378.8,,8379.8,,9132.0,7186.0,4553.0,,1540.0,1540.0,1240.0,760.0,2017-01-03,2
Tamil Nadu,3320.0,2696.0,2505.0,6440.0,6270.0,6680.0,6537.5,5000.0,3724.0,,12929.4,,8762.6,,8960.2,7067.2,4800.0,,1500.0,1360.0,3720.0,680.0,2018-01-03,2
Tamil Nadu,3100.0,3000.0,3084.0,6440.0,6940.0,7810.0,7340.0,5280.0,3390.0,,14161.2,,8238.4,,9516.2,6875.4,4460.0,,1542.0,1940.0,1240.0,1620.0,2019-01-03,2
Tamil Nadu,2611.0,2770.0,2336.75,6080.0,12520.0,13740.0,9000.0,6800.0,3446.0,,12057.0,,7820.4,,8901.8,5750.8,3845.0,,1510.0,1640.0,1560.0,840.0,2016-02-03,3
Tamil Nadu,3302.0,2836.0,2572.5,9300.0,6980.0,9230.0,6280.0,5750.0,4190.0,,13888.2,,8600.4,,9132.0,7273.8,4606.0,,1550.0,1460.0,1160.0,1960.0,2017-02-03,3
Tamil Nadu,3301.0,2736.0,2555.0,5940.0,6320.0,6600.0,6650.0,5100.0,3574.0,,12775.4,,8784.6,,8982.2,7005.6,4820.0,,1500.0,1325.0,2380.0,580.0,2018-02-03,3
Tamil Nadu,2987.5,2925.0,2862.5,6325.0,8150.0,7625.0,7700.0,5825.0,3382.5,,13548.0,,8397.5,,9335.0,7187.25,4491.75,,1530.0,1875.0,1050.0,1125.0,2019-02-03,3
Tamil Nadu,2475.0,2720.0,2286.75,5820.0,11500.0,13260.0,8740.0,6150.0,3452.0,,12013.0,,7798.4,,9044.2,6314.0,3764.0,,1530.0,1480.0,1280.0,720.0,2016-03-03,3
Tamil Nadu,3275.0,2835.0,2550.0,7375.0,6550.0,8750.0,6200.0,5400.0,4315.0,,14112.25,,8811.75,,9120.0,7011.0,4475.0,,1562.5,1300.0,1200.0,2100.0,2017-03-03,3
Tamil Nadu,3126.6,2736.0,2525.0,5580.0,6510.0,6620.0,6770.0,5000.0,3690.0,,12840.6,,8698.4,,9054.2,7172.6,4580.0,,1500.0,1380.0,1560.0,620.0,2018-03-03,3
Tamil Nadu,3012.5,2925.0,2865.0,6250.0,8150.0,7600.0,7675.0,5800.0,3422.5,,13521.5,10000.0,7968.5,,9422.5,7031.0,4300.0,,1580.0,1500.0,950.0,1050.0,2019-03-03,3
Tamil Nadu,2411.0,2640.0,2324.25,5940.0,11500.0,13110.0,8260.0,6700.0,3700.0,,12504.0,,7950.6,,9000.2,6623.0,3667.0,,1530.0,1740.0,1180.0,760.0,2016-04-03,3
Tamil Nadu,3275.0,2810.0,2533.33,7625.0,6850.0,9325.0,6775.0,5700.0,4285.0,,14250.0,,8701.75,,9065.0,6749.25,4375.0,,1562.5,1425.0,1050.0,1800.0,2017-04-03,3
Tamil Nadu,3300.0,2650.0,2350.0,5200.0,6550.0,6400.0,6700.0,4900.0,3550.0,,12376.5,,8945.0,,8845.0,7383.5,5000.0,,1400.0,1500.0,900.0,950.0,2018-04-03,3
Tamil Nadu,3080.0,3000.0,2920.0,6150.0,8000.0,7400.0,7530.0,5508.0,3484.0,,13867.2,9750.0,8133.8,,9402.0,6772.4,4256.6,,1584.0,1680.0,1060.0,1660.0,2019-04-03,3
Tamil Nadu,2355.0,2637.5,2372.5,7200.0,13250.0,16550.0,8500.0,7350.0,3965.0,,14396.67,,8077.0,,9025.25,7056.25,4068.75,,1525.0,1875.0,1225.0,2900.0,2016-05-03,3
Tamil Nadu,3115.0,2785.0,2600.0,7637.5,6900.0,9350.0,6775.0,5400.0,4210.0,,14422.75,,8667.0,,9065.0,6400.5,4475.0,,1562.5,1425.0,875.0,725.0,2017-05-03,3
